CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
ABA,Aberdare Rail Station,300400,202800,2,SO 00400 02800,51.715056,-3.4430834
AUR,Aberdour Rail Station,319100,685400,1,NT 19100 85400,56.054590,-3.3005600
AVY,Aberdovey Rail Station,260600,296000,1,SN 60600 96000,52.543955,-4.0570670
ABE,Aber Rail Station,314870,186950,1,ST 14870 86950,51.574964,-3.2298284
AGL,Abergele & Pensarn Rail Station,294612,378681,1,SH 94612 78681,53.294571,-3.5826219
ACY,Abercynon Rail Station,308278,194824,2,ST 08278 94824,51.644707,-3.3269879
ABD,Aberdeen Rail Station,394127,805872,2,NJ 94127 05872,57.143703,-2.0986851
ABH,Abererch Rail Station,240400,336100,1,SH 40400 36100,52.898581,-4.3741754
AGV,Abergavenny Rail Station,330500,213600,2,SO 30500 13600,51.816688,-3.0096468
AYW,Aberystwyth Rail Station,258500,281600,4,SN 58500 81600,52.414043,-4.0818934
ABW,Abbey Wood (London) Rail Station,547374,179035,2,TQ 47374 79035,51.491061,0.12139403
ACB,Acton Bridge Rail Station,359870,374560,2,SJ 59870 74560,53.266506,-2.6031265
AAT,Achanalt Rail Station,226020,861473,2,NH 26020 61473,57.609594,-4.9138511
ACH,Achnashellach Rail Station,200290,848440,1,NH 00290 48440,57.482073,-5.3330551
AUK,Auchinleck Rail Station,255000,622000,1,NS 55000 22000,55.470272,-4.2953491
ACN,Achnasheen Rail Station,216403,858519,2,NH 16403 58519,57.579288,-5.0723320
ACK,Acklington Rail Station,422200,601500,1,NU 22200 01500,55.307097,-1.6518346
ACL,Acle Rail Station,639900,310000,2,TG 39900 10000,52.634680,1.5439151
ACG,Acocks Green Rail Station,412400,283500,1,SP 12400 83500,52.449321,-1.8189754
ACR,Accrington Rail Station,375730,428575,7,SD 75730 28575,53.752970,-2.3695478
ACC,Acton Central Rail Station,520645,180295,2,TQ 20645 80295,51.508715,-0.26297069
AML,Acton Main Line Rail Station,520360,181230,2,TQ 20360 81230,51.517178,-0.26675643
ADD,Adderley Park Rail Station,409880,287250,1,SP 09880 87250,52.483084,-1.8559444
ADW,Addiewell Rail Station,299500,662300,1,NS 99500 62300,55.843407,-3.6065264
ADM,Adisham Rail Station,623391,153976,1,TR 23391 53976,51.241200,1.1990891
ADC,Adlington (Cheshire) Rail Station,391200,380300,1,SJ 91200 80300,53.319552,-2.1335625
ASN,Addlestone Rail Station,505587,164866,1,TQ 05587 64866,51.373044,-0.48445678
ADL,Adlington (Lancs) Rail Station,360200,413135,2,SD 60200 13135,53.613243,-2.6030708
AWK,Adwick Rail Station,454375,408725,2,SE 54375 08725,53.572319,-1.1803562
AUG,Aughton Park Rail Station,340790,406775,2,SD 40790 06775,53.554246,-2.8952208
AIG,Aigburth Rail Station,338400,385700,1,SJ 38400 85700,53.364563,-2.9271549
ANS,Ainsdale Rail Station,331101,412224,2,SD 31101 12224,53.602031,-3.0426520
AIN,Aintree Rail Station,336625,397890,2,SJ 36625 97890,53.473908,-2.9562803
AIR,Airbles Rail Station,275034,656191,2,NS 75034 56191,55.782832,-3.9941924
ADR,Airdrie Rail Station,276000,665200,2,NS 76000 65200,55.863977,-3.9829120
APN,Newcastle Airport Metro,418566,571308,1,NZ 18566 71308,55.035948,-1.7110465
AYP,Albany Park Rail Station,547855,172860,2,TQ 47855 72860,51.435451,0.12573707
ALB,Albrighton Rail Station,381900,304500,1,SJ 81900 04500,52.637941,-2.2688999
ALD,Alderley Edge Rail Station,384317,378563,1,SJ 84317 78563,53.303779,-2.2367991
AMT,Aldermaston Rail Station,460100,167345,2,SU 60100 67345,51.401960,-1.1374238
AHT,Aldershot Rail Station,486656,150424,3,SU 86656 50424,51.246417,-0.75985985
AGT,Aldrington Rail Station,527984,105666,2,TQ 27984 05666,50.836382,-0.18382151
LPY,Liverpool South Parkway Rail Station,340921,384909,1,SJ 40921 84909,53.357742,-2.8891277
AAP,Alexandra Palace Rail Station,530295,190460,2,TQ 30295 90460,51.597922,-0.12023522
ALF,Alfreton Rail Station,442300,356100,1,SK 42300 56100,53.100430,-1.3696961
ALW,Allens West Rail Station,441449,514558,2,NZ 41449 14558,54.524621,-1.3611167
ALO,Alloa Rail Station,288800,693115,0,NS 88800 93115,56.117788,-3.7900556
ASS,Alness Rail Station,266000,869400,2,NH 66000 69400,57.694393,-4.2497162
ALM,Alnmouth Rail Station,423115,611040,2,NU 23115 11040,55.392776,-1.6366377
ALR,Alresford (Essex) Rail Station,606525,221515,4,TM 06525 21515,51.853999,0.99743646
ASG,Alsager Rail Station,380070,355130,2,SJ 80070 55130,53.093002,-2.2990575
AYH,Aylesham Rail Station,624182,152457,1,TR 24182 52457,51.227253,1.2094528
ALN,Althorne Rail Station,590524,197929,1,TQ 90524 97929,51.647869,0.75248345
ABC,Altnabreac Rail Station,300340,945680,2,ND 00340 45680,58.388147,-3.7062802
AON,Alton Rail Station,472352,139697,3,SU 72352 39697,51.151967,-0.96691324
ALP,Althorpe Rail Station,483960,410625,2,SE 83960 10625,53.585499,-0.73318226
ALT,Altrincham Rail Station,377026,387931,5,SJ 77026 87931,53.387715,-2.3468888
ALV,Alvechurch Rail Station,402300,272000,1,SP 02300 72000,52.346069,-1.9676605
ALX,Alexandria Rail Station,239300,679900,1,NS 39300 79900,55.985082,-4.5774841
AXP,Alexandra Parade Rail Station,261747,665542,2,NS 61747 65542,55.863169,-4.2106479
AMB,Ambergate Rail Station,434900,351600,1,SK 34900 51600,53.060515,-1.4806975
AMR,Amersham Rail Station,496379,198188,1,SU 96379 98188,51.674204,-0.60759611
AMY,Amberley Rail Station,502632,111812,1,TQ 02632 11812,50.896678,-0.54199239
AMF,Ammanford Rail Station,262400,212700,1,SN 62400 12700,51.795973,-3.9967348
ANC,Ancaster Rail Station,498400,344375,2,SK 98400 44375,52.987686,-0.53562371
ADV,Andover Rail Station,435565,145938,2,SU 35565 45938,51.211545,-1.4922329
AND,Anderston Rail Station,257960,665300,2,NS 57960 65300,55.859896,-4.2709790
ANZ,Anerley Rail Station,534605,169900,2,TQ 34605 69900,51.412151,-0.065885918
AGR,Angel Road Rail Station,535200,192200,1,TQ 35200 92200,51.612403,-0.048791420
ANG,Angmering Rail Station,506513,102979,1,TQ 06513 02979,50.816574,-0.48939400
ANN,Annan Rail Station,319300,566200,2,NY 19300 66200,54.983834,-3.2625804
AFV,Ansdell & Fairhaven Rail Station,334601,427689,3,SD 34601 27689,53.741461,-2.9930339
ANL,Anniesland Rail Station,254880,668683,3,NS 54880 68683,55.889349,-4.3219567
APP,Appleby Rail Station,368640,520680,1,NY 68640 20680,54.580345,-2.4866922
APD,Appledore (Kent) Rail Station,597566,129760,1,TQ 97566 29760,51.033236,0.81634155
APB,Appley Bridge Rail Station,352475,409360,2,SD 52475 09360,53.578669,-2.7192521
APF,Appleford Rail Station,452542,193698,1,SU 52542 93698,51.639640,-1.2421414
APS,Apsley Rail Station,506245,204874,1,TL 06245 04874,51.732520,-0.46293480
ARB,Arbroath Rail Station,363900,741000,2,NO 63900 41000,56.559572,-2.5889314
ART,Arrochar & Tarbet Rail Station,231200,704600,2,NN 31200 04600,56.203969,-4.7227699
ARD,Ardgay Rail Station,260030,890446,2,NH 60030 90446,57.881451,-4.3620891
AUI,Ardlui Rail Station,231700,715500,2,NN 31700 15500,56.301965,-4.7216573
ADS,Ardrossan Harbour Rail Station,222540,642090,1,NS 22540 42090,55.639871,-4.8211103
ASB,Ardrossan South Beach Rail Station,223799,642211,2,NS 23799 42211,55.641415,-4.8012113
ADN,Ardrossan Town Rail Station,223070,642050,1,NS 23070 42050,55.639705,-4.8126751
ADK,Ardwick Rail Station,385900,397200,1,SJ 85900 97200,53.471342,-2.2138839
AGS,Argyle Street Rail Station,259220,664970,3,NS 59220 64970,55.857302,-4.2506938
ARG,Arisaig Rail Station,166400,786700,1,NM 66400 86700,56.912545,-5.8390775
ARL,Arlesey Rail Station,519045,237820,1,TL 19045 37820,52.026030,-0.26631983
ARM,Armadale (W Lothian) Rail Station,294050,667140,0,NS 94050 67140,55.885708,-3.6954125
AWT,Armathwaite Rail Station,350475,546340,2,NY 50475 46340,54.809464,-2.7720710
ARN,Arnside Rail Station,346070,478870,2,SD 46070 78870,54.202727,-2.8282414
ARR,Arram Rail Station,503520,444275,2,TA 03520 44275,53.884342,-0.42657012
ARU,Arundel Rail Station,502444,106417,4,TQ 02444 06417,50.848213,-0.54617428
ACT,Ascot Rail Station,492200,168300,1,SU 92200 68300,51.406242,-0.67583322
AUW,Ascott-under-Wychwood Rail Station,430114,218841,1,SP 30114 18841,51.867339,-1.5640527
AFS,Ashford (Surrey) Rail Station,506580,171947,1,TQ 06580 71947,51.436506,-0.46807098
ASF,Ashfield Rail Station,259427,668485,2,NS 59427 68485,55.888920,-4.2492140
ABY,Ashburys Rail Station,387191,397229,2,SJ 87191 97229,53.471636,-2.1944363
ASC,Ashchurch for Tewkesbury Rail Station,392630,233390,3,SO 92630 33390,51.998902,-2.1087599
AHD,Ashtead Rail Station,518040,159000,2,TQ 18040 59000,51.317872,-0.30757175
AFK,Ashford International Rail Station,601282,142204,4,TR 01282 42204,51.143704,0.87619726
ASH,Ash Rail Station,489934,150834,1,SU 89934 50834,51.249596,-0.71280544
ASY,Ashley Rail Station,377370,384370,2,SJ 77370 84370,53.355722,-2.3414604
AHN,Ashton-under-Lyne Rail Station,393840,399400,3,SJ 93840 99400,53.491271,-2.0943123
AHS,Ashurst (Kent) Rail Station,550726,138801,2,TQ 50726 38801,51.128661,0.15265212
AHV,Ash Vale Rail Station,489273,153342,1,SU 89273 53342,51.272245,-0.72164856
AWM,Ashwell & Morden Rail Station,529770,238615,1,TL 29770 38615,52.030770,-0.10978891
ASK,Askam Rail Station,321500,477688,2,SD 21500 77688,54.188928,-3.2045112
ALK,Aslockton Rail Station,474130,339920,2,SK 74130 39920,52.951548,-0.89809757
APG,Aspley Guise Rail Station,493944,236751,1,SP 93944 36751,52.021235,-0.63233448
ASP,Aspatria Rail Station,314390,541260,3,NY 14390 41260,54.758955,-3.3318736
AST,Aston Rail Station,408790,289600,2,SP 08790 89600,52.504229,-1.8719335
ATT,Attadale Rail Station,192456,839125,2,NG 92456 39125,57.395035,-5.4555769
ATN,Atherton Rail Station,368347,403716,2,SD 68347 03716,53.529142,-2.4789720
ATH,Atherstone Rail Station,430400,298000,2,SP 30400 98000,52.578970,-1.5528113
ATB,Attenborough Rail Station,451790,334585,2,SK 51790 34585,52.906211,-1.2314155
ATL,Attleborough Rail Station,605177,295033,3,TM 05177 95033,52.514546,1.0223476
AUD,Audley End Rail Station,551600,236300,1,TL 51600 36300,52.004441,0.20716003
AVM,Aviemore Rail Station,289566,812339,5,NH 89566 12339,57.188510,-3.8288671
AVF,Avoncliff Rail Station,380500,160100,1,ST 80500 60100,51.339649,-2.2813253
AVN,Avonmouth Rail Station,351544,178168,2,ST 51544 78168,51.500360,-2.6994661
AXM,Axminster Rail Station,329260,98225,2,SY 29260 98225,50.779269,-3.0047231
AYL,Aylesford Rail Station,572017,158687,1,TQ 72017 58687,51.301316,0.46617058
AYS,Aylesbury Rail Station,481779,213470,1,SP 81779 13470,51.813889,-0.81509596
AVP,Aylesbury Vale Parkway Rail Station,478641,215341,0,SP 78641 15341,51.831157,-0.86018239
AYR,Ayr Rail Station,234060,621390,3,NS 34060 21390,55.458141,-4.6258755
BAC,Bache Rail Station,340545,368340,2,SJ 40545 68340,53.208784,-2.8916700
BNA,Burnage Rail Station,385764,391618,2,SJ 85764 91618,53.421165,-2.2156781
BAG,Bagshot Rail Station,491391,163627,1,SU 91391 63627,51.364366,-0.68866197
BLD,Baildon Rail Station,416305,439360,2,SE 16305 39360,53.850223,-1.7536362
BAB,Balcombe Rail Station,530670,130115,1,TQ 30670 30115,51.055520,-0.13693375
BDK,Baldock Rail Station,524540,234264,1,TL 24540 34264,51.992870,-0.18756375
BAL,Balham Rail Station,528500,173200,1,TQ 28500 73200,51.443223,-0.15242449
BIO,Baillieston Rail Station,267750,663275,2,NS 67750 63275,55.844500,-4.1136983
BHC,Balloch Rail Station,239000,681900,2,NS 39000 81900,56.002932,-4.5834853
BSI,Balmossie Rail Station,348417,731698,2,NO 48417 31698,56.474564,-2.8389558
BAM,Bamford Rail Station,420800,382500,1,SK 20800 82500,53.338998,-1.6890817
BNV,Banavie Rail Station,211300,776700,1,NN 11300 76700,56.843307,-5.0954255
BNG,Bangor (Gwynedd) Rail Station,257500,371600,2,SH 57500 71600,53.222281,-4.1358799
BAD,Banstead Rail Station,524588,160432,1,TQ 24588 60432,51.329347,-0.21315893
BSS,Barassie Rail Station,232900,632900,1,NS 32900 32900,55.561057,-4.6511384
BAR,Bare Lane Rail Station,345439,464613,2,SD 45439 64613,54.074540,-2.8353304
BGD,Bargoed Rail Station,315100,200000,1,SO 15100 00000,51.692308,-3.2296795
BKG,Barking Rail Station,544410,184340,2,TQ 44410 84340,51.539493,0.080902430
BRT,Barlaston Rail Station,388800,338400,1,SJ 88800 38400,52.942871,-2.1681111
BMG,Barming Rail Station,572970,156891,1,TQ 72970 56891,51.284894,0.47895810
BNS,Barnes Rail Station,522200,175700,2,TQ 22200 75700,51.467084,-0.24216428
BIF,Barrow-in-Furness Rail Station,319955,469932,2,SD 19955 69932,54.118999,-3.2261203
BWS,Barrow upon Soar Rail Station,457820,317200,2,SK 57820 17200,52.749334,-1.1448430
BRY,Barry Rail Station,310700,167200,1,ST 10700 67200,51.396781,-3.2849843
BYD,Barry Docks Rail Station,312400,167800,1,ST 12400 67800,51.402440,-3.2607033
BYI,Barry Island Rail Station,311500,166700,1,ST 11500 66700,51.392412,-3.2733634
BAV,Barrow Haven Rail Station,506200,423530,2,TA 06200 23530,53.697419,-0.39295523
BSO,Basildon Rail Station,570368,188330,2,TQ 70368 88330,51.568105,0.45678887
BBL,Bat & Ball Rail Station,553100,156800,1,TQ 53100 56800,51.289759,0.19422749
BTH,Bath Spa Rail Station,375248,164353,1,ST 75248 64353,51.377685,-2.3570181
BTL,Batley Rail Station,424985,423790,2,SE 24985 23790,53.709940,-1.6229525
BAK,Battersea Park Rail Station,528745,176960,2,TQ 28745 76960,51.476958,-0.14753352
BAT,Battle Rail Station,575470,115569,2,TQ 75470 15569,50.912914,0.49470279
BAY,Bayford Rail Station,531537,208274,1,TL 31537 08274,51.757715,-0.095610017
BCG,Birchgrove Rail Station,316711,180978,2,ST 16711 80978,51.521555,-3.2018532
BEC,Beckenham Hill Rail Station,538040,171375,2,TQ 38040 71375,51.424581,-0.015951111
BKJ,Beckenham Junction Rail Station,537395,169850,2,TQ 37395 69850,51.411033,-0.025812822
BKJ,Beckenham Junction Rail Station,537380,169865,2,TQ 37380 69865,51.411172,-0.026022560
BAW,Blackwater Rail Station,485320,159875,2,SU 85320 59875,51.331580,-0.77674099
BCK,Buckley Rail Station,329500,363400,1,SJ 29500 63400,53.163034,-3.0559256
BCH,Birchington-on-Sea Rail Station,629849,169444,2,TR 29849 69444,51.377491,1.3014085
BCF,Beaconsfield Rail Station,494004,191144,1,SU 94004 91144,51.611290,-0.64382225
BCS,Bicester North Rail Station,458550,223112,2,SP 58550 23112,51.903481,-1.1503834
BIT,Bicester Town Rail Station,458675,221950,3,SP 58675 21950,51.893022,-1.1487642
