Station,Latitude,Longitude
Adamstown,53.335285,-6.4523325
Ardrahan,53.157177,-8.814831
Arklow,52.793163,-6.159939
Ashtown,53.37552,-6.3313503
Athenry,53.30153,-8.748547
Athlone,53.427322,-7.9368286
Athy,52.991997,-6.976196
Attymon,53.321205,-8.606078
Balbriggan,53.611835,-6.1822634
Ballina,54.108532,-9.16146
Ballinasloe,53.33628,-8.24081
Ballybrophy,52.8999,-7.602593
Ballyhaunis,53.76158,-8.758404
Ballymote,54.08867,-8.5208845
Banteer,52.12873,-8.897932
Bayside,53.391724,-6.136783
Birdhill,52.76557,-8.442474
Blackrock,53.30268,-6.178333
Booterstown,53.30992,-6.19498
Boyle,53.967594,-8.304382
Bray (Daly),53.20426,-6.1004577
Broombridge,53.372505,-6.2986894
Cahir,52.377743,-7.9218054
Carlow,52.840714,-6.9221654
Carrick-on-Shannon,53.938347,-8.106565
Carrick-on-Suir,52.348713,-7.403542
Carrigaloe,51.86881,-8.324174
Carrigtwohill,51.9141,-8.24764
Castlebar,53.847057,-9.2873
Castleconnell,52.712624,-8.49922
Castleknock,53.381577,-6.371492
Castlerea,53.761166,-8.484476
Charleville,52.346832,-8.653625
Clara,53.339527,-7.61596
Claremorris,53.720387,-9.002224
Clondalkin Fonthill,53.33337,-6.4062786
Clongriffin,53.403194,-6.148385
Clonmel,52.3611,-7.6993566
Clonsilla,53.38312,-6.4241967
Clontarf Road,53.36288,-6.2275343
Cloughjordan,52.936317,-8.0246
Cobh,51.849106,-8.299557
Collooney,54.187115,-8.494531
Coolmine,53.377605,-6.390717
Cork (Kent),51.90179,-8.4582
Craughwell,53.22661,-8.734914
Dalkey,53.275642,-6.103327
Docklands,53.350876,-6.239286
Donabate,53.485508,-6.151344
Drogheda (MacBride),53.71202,-6.335379
Dromod,53.859135,-7.9164004
Drumcondra,53.36321,-6.2590766
Dublin (Connolly),53.353104,-6.2459
Dublin (Heuston),53.346428,-6.2946076
Dublin (Pearse),53.343315,-6.248292
Dun Laoghaire (Mallin),53.29506,-6.134976
Dunboyne,53.41748,-6.464834
Dundalk (Clarke),54.000652,-6.412911
Edgeworthstown,53.688766,-7.6029944
Enfield,53.41574,-6.8339453
Ennis,52.838566,-8.974908
Enniscorthy,52.504642,-6.5662737
Farranfore,52.173344,-9.552785
Fota,51.896034,-8.318301
Foxford,53.983025,-9.136402
Galway (Ceannt),53.273617,-9.046963
Glenageary,53.281197,-6.1228933
Glounthane,51.911236,-8.3254
Gorey,52.671165,-6.291951
Gormanston,53.637955,-6.2170453
Gort,53.065308,-8.8159485
Grand Canal Dock,53.339725,-6.237732
Greystones,53.144203,-6.060855
Hansfield,53.38692,-6.4417067
Harmonstown,53.378643,-6.1913104
Hazelhatch and Celbridge,53.322266,-6.5235577
Howth,53.389053,-6.074014
Howth Junction and Donaghmede,53.390877,-6.156723
Kilbarrack,53.38699,-6.161635
Kilcock,53.404297,-6.6789246
Kilcoole,53.10697,-6.0411205
Kildare,53.162975,-6.9080153
Kilkenny (MacDonagh),52.654953,-7.24498
Killarney,52.059467,-9.501977
Killester,53.373024,-6.2044196
Killiney,53.25571,-6.113167
Lansdowne Road,53.334656,-6.229789
Laytown,53.67936,-6.2425256
Leixlip (Confey),53.374268,-6.486238
Leixlip (Louisa Bridge),53.37035,-6.5059834
Limerick (Colbert),52.658665,-8.623966
Limerick Junction,52.50092,-8.200031
Little Island,51.907776,-8.35466
Longford,53.724266,-7.7957354
M3 Parkway,53.434868,-6.4689775
Malahide,53.450947,-6.156487
Mallow,52.139618,-8.655206
Manulla Junction,53.827976,-9.192956
Maynooth,53.378048,-6.589933
Midleton,51.921192,-8.175539
Millstreet,52.07757,-9.069734
Monasterevin,53.145382,-7.0636134
Muine Bheag (Bagenalstown),52.69903,-6.9521284
Mullingar,53.523033,-7.346082
Navan Road Parkway,53.37771,-6.345914
Nenagh,52.860462,-8.194708
Newbridge,53.18555,-6.808067
Oranmore,53.268757,-8.921843
Park West and Cherry Orchard,53.333984,-6.3786783
Portarlington,53.14605,-7.1805544
Portlaoise,53.03712,-7.3008637
Portmarnock,53.416924,-6.1511955
Raheny,53.381523,-6.1769915
Rathdrum,52.92954,-6.226414
Rathmore,52.08538,-9.217565
Roscommon,53.624348,-8.196312
Roscrea,52.960705,-7.7940984
Rosslare Europort,52.253147,-6.33493
Rosslare Strand,52.272606,-6.3925376
Rush and Lusk,53.520084,-6.143898
Rushbrooke,51.849567,-8.322522
Sallins and Naas,53.246902,-6.6638603
Salthill and Monkstown,53.295357,-6.1520586
Sandycove and Glasthule,53.28783,-6.127116
Sandymount,53.328083,-6.2211633
Seapoint,53.29913,-6.16512
Shankill,53.236355,-6.1169086
Sixmilebridge,52.737232,-8.780998
Skerries,53.574127,-6.119333
Sligo (MacDiarmada),54.27227,-8.48249
Sutton,53.392036,-6.1144776
Sydney Parade,53.320614,-6.211124
Tara Street,53.347015,-6.254249
Templemore,52.787834,-7.822931
Thomastown,52.52305,-7.1489124
Thurles,52.676624,-7.821893
Tipperary,52.470097,-8.162501
Tralee (Casement),52.271027,-9.698456
Tullamore,53.27039,-7.499851
Waterford (Plunkett),52.266678,-7.1183033
Westport,53.7955,-9.508852
Wexford (O Hanrahan),52.34342,-6.4635997
Wicklow,52.9882,-6.0533824
Woodlawn,53.343163,-8.472313
