Name, Code, Latitude (float), Longitude (float)
Adamstown,ADMTN,53.335285,-6.4523325
Ardrahan,,53.157177,-8.814831
Arklow,ARKLW,52.793163,-6.159939
Ashtown,ASHTN,53.37552,-6.3313503
Athenry,ATHRY,53.30153,-8.748547
Athlone,ATLNE,53.427322,-7.9368286
Athy,ATHY,52.991997,-6.976196
Attymon,ATMON,53.321205,-8.606078
Balbriggan,BBRGN,53.611835,-6.1822634
Ballina,BALNA,54.108532,-9.16146
Ballinasloe,BSLOE,53.33628,-8.24081
Ballybrophy,BBRHY,52.8999,-7.602593
Ballyhaunis,BYHNS,53.76158,-8.758404
Ballymote,BMOTE,54.08867,-8.5208845
Banteer,BTEER,52.12873,-8.897932
Bayside,BYSDE,53.391724,-6.136783
Birdhill,BHILL,52.76557,-8.442474
Blackrock,BROCK,53.30268,-6.178333
Booterstown,BTSTN,53.30992,-6.19498
Boyle,BOYLE,53.967594,-8.304382
Bray (Daly),BRAY,53.20426,-6.1004577
Broombridge,BBRDG,53.372505,-6.2986894
Cahir,CAHIR,52.377743,-7.9218054
Carlow,CRLOW,52.840714,-6.9221654
Carrick-on-Shannon,CKOSH,53.938347,-8.106565
Carrick-on-Suir,CKOSR,52.348713,-7.403542
Carrigaloe,CGLOE,51.86881,-8.324174
Carrigtwohill,,51.9141,-8.24764
Castlebar,CLBAR,53.847057,-9.2873
Castleconnell,,52.712624,-8.49922
Castleknock,CNOCK,53.381577,-6.371492
Castlerea,CSREA,53.761166,-8.484476
Charleville,CVILL,52.346832,-8.653625
Clara,CLARA,53.339527,-7.61596
Claremorris,CLMRS,53.720387,-9.002224
Clondalkin Fonthill,CLDKN,53.33337,-6.4062786
Clongriffin,GRGRD,53.403194,-6.148385
Clonmel,CLMEL,52.3611,-7.6993566
Clonsilla,CLSLA,53.38312,-6.4241967
Clontarf Road,CTARF,53.36288,-6.2275343
Cloughjordan,CJRDN,52.936317,-8.0246
Cobh,COBH,51.849106,-8.299557
Collooney,COLNY,54.187115,-8.494531
Coolmine,CMINE,53.377605,-6.390717
Cork (Kent),CORK,51.90179,-8.4582
Craughwell,CRGHW,53.22661,-8.734914
Dalkey,DLKEY,53.275642,-6.103327
Docklands,DCKLS,53.350876,-6.239286
Donabate,DBATE,53.485508,-6.151344
Drogheda (MacBride),DGHDA,53.71202,-6.335379
Dromod,DRMOD,53.859135,-7.9164004
Drumcondra,DCDRA,53.36321,-6.2590766
Dublin (Connolly),CNLLY,53.353104,-6.2459
